quarantine_id,source_file,line_number,quarantine_reason,raw_payload
Q-AUTH-1,auth.jsonl,1,invalid_json,"{""schema_version"":""1"",""broken"":""v1-0"""
Q-AUTH-2,auth.jsonl,2,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-AUTH-3,auth.jsonl,3,invalid_json,"{""schema_version"":""1"",""broken"":""v1-2"""
Q-AUTH-4,auth.jsonl,4,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-AUTH-5,auth.jsonl,5,invalid_json,"{""schema_version"":""1"",""broken"":""v1-4"""
Q-WEB-1,web.jsonl,1,invalid_json,"{""schema_version"":""1"",""broken"":""v1-0"""
Q-WEB-2,web.jsonl,2,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-WEB-3,web.jsonl,3,invalid_json,"{""schema_version"":""1"",""broken"":""v1-2"""
Q-WEB-4,web.jsonl,4,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-WEB-5,web.jsonl,5,invalid_json,"{""schema_version"":""1"",""broken"":""v1-4"""
Q-DNS-1,dns.jsonl,1,invalid_json,"{""schema_version"":""1"",""broken"":""v1-0"""
Q-DNS-2,dns.jsonl,2,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-DNS-3,dns.jsonl,3,invalid_json,"{""schema_version"":""1"",""broken"":""v1-2"""
Q-DNS-4,dns.jsonl,4,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-DNS-5,dns.jsonl,5,invalid_json,"{""schema_version"":""1"",""broken"":""v1-4"""
Q-FIREWALL-1,firewall.jsonl,1,invalid_json,"{""schema_version"":""1"",""broken"":""v1-0"""
Q-FIREWALL-2,firewall.jsonl,2,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-FIREWALL-3,firewall.jsonl,3,invalid_json,"{""schema_version"":""1"",""broken"":""v1-2"""
Q-FIREWALL-4,firewall.jsonl,4,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-FIREWALL-5,firewall.jsonl,5,invalid_json,"{""schema_version"":""1"",""broken"":""v1-4"""
Q-ENDPOINT-1,endpoint.jsonl,1,invalid_json,"{""schema_version"":""1"",""broken"":""v1-0"""
Q-ENDPOINT-2,endpoint.jsonl,2,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-ENDPOINT-3,endpoint.jsonl,3,invalid_json,"{""schema_version"":""1"",""broken"":""v1-2"""
Q-ENDPOINT-4,endpoint.jsonl,4,missing_time,"{""schema_version"": ""2"", ""missing_time"": true}"
Q-ENDPOINT-5,endpoint.jsonl,5,invalid_json,"{""schema_version"":""1"",""broken"":""v1-4"""
