activity_id,disposition,rationale,evidence_locators
REVIEW-0202,FALSE_POSITIVE,Valid approved change record CHG-81A4FA070A covering asset asset-011 and actor svc-023,discrepancy.json:CHG-81A4FA070A
REVIEW-0064,FALSE_POSITIVE,Valid approved change record CHG-91A732710C covering asset asset-017 and actor svc-029,discrepancy.json:CHG-91A732710C
REVIEW-0270,FALSE_POSITIVE,Valid approved change record CHG-583B149127 covering asset asset-031 and actor svc-019,discrepancy.json:CHG-583B149127
REVIEW-0148,FALSE_POSITIVE,Valid approved change record CHG-5982032445 covering asset asset-005 and actor svc-005,discrepancy.json:CHG-5982032445
REVIEW-0259,FALSE_POSITIVE,Valid approved change record CHG-5CC0D35326 covering asset asset-020 and actor svc-008,discrepancy.json:CHG-5CC0D35326
REVIEW-0200,FALSE_POSITIVE,Valid approved change record CHG-D21A38E547 covering asset asset-009 and actor svc-021,discrepancy.json:CHG-D21A38E547
REVIEW-0299,FALSE_POSITIVE,Valid approved change record CHG-F64A56EF4E covering asset asset-012 and actor svc-012,discrepancy.json:CHG-F64A56EF4E
REVIEW-0372,FALSE_POSITIVE,Valid approved change record CHG-CCE3564483 covering asset asset-037 and actor svc-013,discrepancy.json:CHG-CCE3564483
REVIEW-0255,FALSE_POSITIVE,Valid approved change record CHG-D23EF6B95D covering asset asset-016 and actor svc-004,discrepancy.json:CHG-D23EF6B95D
REVIEW-0209,FALSE_POSITIVE,Valid approved change record CHG-5EF5704F32 covering asset asset-018 and actor svc-030,discrepancy.json:CHG-5EF5704F32
REVIEW-0277,FALSE_POSITIVE,Valid approved change record CHG-48786F1031 covering asset asset-038 and actor svc-026,discrepancy.json:CHG-48786F1031
REVIEW-0193,FALSE_POSITIVE,Valid approved change record CHG-7610F6C47D covering asset asset-002 and actor svc-014,discrepancy.json:CHG-7610F6C47D
REVIEW-0333,FALSE_POSITIVE,Valid approved change record CHG-34A4148438 covering asset asset-046 and actor svc-010,discrepancy.json:CHG-34A4148438
REVIEW-0030,FALSE_POSITIVE,Valid approved change record CHG-6DC5D1640A covering asset asset-031 and actor svc-031,discrepancy.json:CHG-6DC5D1640A
REVIEW-0155,FALSE_POSITIVE,Valid approved change record CHG-A39F2B567D covering asset asset-012 and actor svc-012,discrepancy.json:CHG-A39F2B567D
REVIEW-0230,FALSE_POSITIVE,Valid approved change record CHG-F057C127E5 covering asset asset-039 and actor svc-015,discrepancy.json:CHG-F057C127E5
REVIEW-0257,FALSE_POSITIVE,Valid approved change record CHG-B14026392C covering asset asset-018 and actor svc-006,discrepancy.json:CHG-B14026392C
REVIEW-0022,FALSE_POSITIVE,Valid approved change record CHG-93AFC6ABF0 covering asset asset-023 and actor svc-023,discrepancy.json:CHG-93AFC6ABF0
REVIEW-0306,FALSE_POSITIVE,Valid approved change record CHG-07AD083112 covering asset asset-019 and actor svc-019,discrepancy.json:CHG-07AD083112
REVIEW-0157,TRUE_POSITIVE,Change approval mismatch in CHG-EDA9356D8A: Unapproved actor 'svc-unapproved',discrepancy.json:CHG-EDA9356D8A
REVIEW-0095,FALSE_POSITIVE,Valid approved change record CHG-BDD9E9867A covering asset asset-048 and actor svc-024,discrepancy.json:CHG-BDD9E9867A
REVIEW-0261,FALSE_POSITIVE,Valid approved change record CHG-41E938C882 covering asset asset-022 and actor svc-010,discrepancy.json:CHG-41E938C882
REVIEW-0147,FALSE_POSITIVE,Valid approved change record CHG-24B0CC831C covering asset asset-004 and actor svc-004,discrepancy.json:CHG-24B0CC831C
REVIEW-0015,FALSE_POSITIVE,Valid approved change record CHG-4EB0C65B03 covering asset asset-016 and actor svc-016,discrepancy.json:CHG-4EB0C65B03
REVIEW-0071,TRUE_POSITIVE,Change approval mismatch in CHG-4864F1ED44: Status is PENDING,discrepancy.json:CHG-4864F1ED44
REVIEW-0014,FALSE_POSITIVE,Valid approved change record CHG-4853D0FBE7 covering asset asset-015 and actor svc-015,discrepancy.json:CHG-4853D0FBE7
REVIEW-0130,FALSE_POSITIVE,Valid approved change record CHG-852A468647 covering asset asset-035 and actor svc-023,discrepancy.json:CHG-852A468647
REVIEW-0258,FALSE_POSITIVE,Valid approved change record CHG-AB24849469 covering asset asset-019 and actor svc-007,discrepancy.json:CHG-AB24849469
REVIEW-0236,FALSE_POSITIVE,Valid approved change record CHG-4AE69F319C covering asset asset-045 and actor svc-021,discrepancy.json:CHG-4AE69F319C
REVIEW-0003,FALSE_POSITIVE,Valid approved change record CHG-CD584BA403 covering asset asset-004 and actor svc-004,discrepancy.json:CHG-CD584BA403
REVIEW-0278,FALSE_POSITIVE,Valid approved change record CHG-63EE3F7742 covering asset asset-039 and actor svc-027,discrepancy.json:CHG-63EE3F7742
REVIEW-0364,FALSE_POSITIVE,Valid approved change record CHG-A55DA56748 covering asset asset-029 and actor svc-005,discrepancy.json:CHG-A55DA56748
REVIEW-0352,FALSE_POSITIVE,Valid approved change record CHG-4A25BBC630 covering asset asset-017 and actor svc-029,discrepancy.json:CHG-4A25BBC630
REVIEW-0370,TRUE_POSITIVE,Change approval mismatch in CHG-83F819504E: Invalid approver 'requestor-only',discrepancy.json:CHG-83F819504E
REVIEW-0243,FALSE_POSITIVE,Valid approved change record CHG-84716EBF56 covering asset asset-004 and actor svc-028,discrepancy.json:CHG-84716EBF56
REVIEW-0233,FALSE_POSITIVE,Valid approved change record CHG-1ED0C984A2 covering asset asset-042 and actor svc-018,discrepancy.json:CHG-1ED0C984A2
REVIEW-0156,FALSE_POSITIVE,Valid approved change record CHG-70E6323541 covering asset asset-013 and actor svc-013,discrepancy.json:CHG-70E6323541
REVIEW-0204,FALSE_POSITIVE,Valid approved change record CHG-F386C1091B covering asset asset-013 and actor svc-025,discrepancy.json:CHG-F386C1091B
REVIEW-0315,FALSE_POSITIVE,Valid approved change record CHG-EC586AA0B8 covering asset asset-028 and actor svc-028,discrepancy.json:CHG-EC586AA0B8
REVIEW-0234,FALSE_POSITIVE,Valid approved change record CHG-F120D88548 covering asset asset-043 and actor svc-019,discrepancy.json:CHG-F120D88548
REVIEW-0314,FALSE_POSITIVE,Valid approved change record CHG-284055F35C covering asset asset-027 and actor svc-027,discrepancy.json:CHG-284055F35C
REVIEW-0041,TRUE_POSITIVE,Change approval mismatch in CHG-09974CD049: Unapproved actor 'svc-unapproved',discrepancy.json:CHG-09974CD049
REVIEW-0020,FALSE_POSITIVE,Valid approved change record CHG-83A0AE75FC covering asset asset-021 and actor svc-021,discrepancy.json:CHG-83A0AE75FC
REVIEW-0383,FALSE_POSITIVE,Valid approved change record CHG-E32D42A673 covering asset asset-048 and actor svc-024,discrepancy.json:CHG-E32D42A673
REVIEW-0229,FALSE_POSITIVE,Valid approved change record CHG-8AC79423DD covering asset asset-038 and actor svc-014,discrepancy.json:CHG-8AC79423DD
REVIEW-0357,FALSE_POSITIVE,Valid approved change record CHG-FC807FA53C covering asset asset-022 and actor svc-034,discrepancy.json:CHG-FC807FA53C
REVIEW-0191,FALSE_POSITIVE,Valid approved change record CHG-09F465F49C covering asset asset-048 and actor svc-012,discrepancy.json:CHG-09F465F49C
REVIEW-0334,FALSE_POSITIVE,Valid approved change record CHG-E1B88A0ED6 covering asset asset-047 and actor svc-011,discrepancy.json:CHG-E1B88A0ED6
REVIEW-0286,TRUE_POSITIVE,Change approval mismatch in CHG-C7ED273A86: Invalid approver 'requestor-only',discrepancy.json:CHG-C7ED273A86
REVIEW-0048,FALSE_POSITIVE,Valid approved change record CHG-434F5AB897 covering asset asset-001 and actor svc-013,discrepancy.json:CHG-434F5AB897
REVIEW-0207,FALSE_POSITIVE,Valid approved change record CHG-E60A4AADEB covering asset asset-016 and actor svc-028,discrepancy.json:CHG-E60A4AADEB
REVIEW-0369,FALSE_POSITIVE,Valid approved change record CHG-1804590C48 covering asset asset-034 and actor svc-010,discrepancy.json:CHG-1804590C48
REVIEW-0360,FALSE_POSITIVE,Valid approved change record CHG-776021E12B covering asset asset-025 and actor svc-001,discrepancy.json:CHG-776021E12B
REVIEW-0124,TRUE_POSITIVE,Change approval mismatch in CHG-74EF4F21F3: Unmapped asset 'asset-999',discrepancy.json:CHG-74EF4F21F3
REVIEW-0051,FALSE_POSITIVE,Valid approved change record CHG-310195353E covering asset asset-004 and actor svc-016,discrepancy.json:CHG-310195353E
REVIEW-0058,TRUE_POSITIVE,Change approval mismatch in CHG-FE6ADC681C: Invalid approver 'requestor-only',discrepancy.json:CHG-FE6ADC681C
REVIEW-0141,FALSE_POSITIVE,Valid approved change record CHG-C2A1612D74 covering asset asset-046 and actor svc-034,discrepancy.json:CHG-C2A1612D74
REVIEW-0332,TRUE_POSITIVE,Change approval mismatch in CHG-4CC212FDBC: Unmapped asset 'asset-999',discrepancy.json:CHG-4CC212FDBC
